time,prod_id,prod_name,qty,bill
2023-02-11T20:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,300,36
2023-02-11T20:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,36
2023-02-11T20:06:22Z,46,Nước xịt vải Downy huyền bí 370ml,200,36
2023-02-12T07:31:26Z,6,Lốc 3 hộp sữa tươi nguyên kem không đường Inex 200ml,32,37
2023-02-12T07:31:26Z,30,Bánh xếp hải sản Bibigo 175g,100,37
2023-02-12T07:31:26Z,25,Tiêu đen xay Dh Foods 45g,30,37
2023-02-12T07:31:26Z,39,Mặt nạ giảm mụn Acnes 3 miếng,200,37
2023-02-12T07:31:26Z,46,Nước xịt vải Downy huyền bí 370ml,5,37
2023-02-12T07:31:26Z,28,Kem dâu Iberri hộp 500ml,5,37
2023-02-12T11:12:59Z,26,Kem Topten Socola Wall's cây 55g,200,38
2023-02-12T11:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,38
2023-02-12T12:12:59Z,24,Nước tương Nhị Ca Tam Thái Tử chai 500ml,50,39
2023-02-12T12:12:59Z,49,Nước xả Giel lavender 1.3 lít,34,39
2023-02-12T14:12:59Z,27,Kem dưa lưới Melona cây 80ml,100,40
2023-02-12T14:12:59Z,16,6 lon bia Sài Gòn Lager 330ml,150,40
2023-02-12T16:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,41
2023-02-12T19:06:22Z,36,Kem dưỡng Olay ngừa lão hóa 50g,60,42
2023-02-12T17:06:22Z,40,Tẩy trang Calliderm dưỡng ẩm 250ml,300,43
2023-02-12T20:06:22Z,42,Mặt nạ ngủ Senka cấp ẩm 50g,300,44
2023-02-12T20:12:59Z,19,Nước trái cây Pororo hương vị chuối 235ml,350,45
2023-02-12T20:06:22Z,46,Nước xịt vải Downy huyền bí 370ml,200,46
